Rank,Column,Feature,PFI_mean,PFI_std,SHAP_mean,SHAP_std,Average_(PFI+SHAP)/2
1,1,$E_\mathrm{g}^\mathrm{PBE}$,2.9083768472313087,0.25592062107363844,1.8443677397238072,0.13668470764827156,2.3763722934775577
2,17,$\sigma(\chi)$,0.34216260433045687,0.13695903972005383,0.28959243984283795,0.07401708223593365,0.31587752208664743
3,10,$\overline{\chi}$,0.35098065107549414,0.10616602010151414,0.2717544114505334,0.07106781835054098,0.31136753126301375
4,5,$\overline{|n|}$,0.2830741141731527,0.049994882573354014,0.26067900135267486,0.03303107546042754,0.27187655776291375
5,14,$\sigma(p)$,0.08457950309718207,0.06396010073452028,0.12240646747474795,0.05229381659205953,0.10349298528596501
6,6,$\overline{Z}$,0.05430266433523882,0.03720843594416566,0.07478124263776428,0.025885598173333507,0.06454195348650155
7,9,$\overline{r}$,0.04839398103146568,0.06129615708506083,0.07086732671734773,0.061802088627284625,0.059630653874406706
8,4,$E_\mathrm{coh}$,0.03086341922679898,0.0491223966299664,0.046058151463298044,0.04110891579893483,0.038460785345048515
9,12,$\sigma(|n|)$,0.030765379519935576,0.021252500253775994,0.03685855678964317,0.013707434382017662,0.033811968154789374
10,15,$\sigma(m)$,0.026224526193534964,0.03208306793052906,0.03749328231251054,0.024138416999242414,0.03185890425302275
11,16,$\sigma(r)$,0.027615674019162734,0.0329864452959307,0.03464376458053052,0.01979672280196355,0.031129719299846627
