1.6284,-5.36440864,4.0,19.0,1.905,2.28,0.0,1.0,30.2995,0.205,0.27
2.8001,-4.453352694,2.0,27.0,2.145,1.765,0.0,1.0,27.777,0.345,0.815
1.3447,-2.616402845,2.0,32.0,1.645,2.1,0.0,0.0,6.785,0.255,0.45
2.4989,-3.703010242,1.6,13.2,2.054,1.966,0.489897949,0.894427191,10.4109215,0.573431774,1.216743194
0.3384,-2.922554422,2.666666667,30.0,2.36,1.266666667,0.942809042,0.942809042,28.06506815,0.183847763,0.447834295
1.9831,-2.661821921,1.333333333,21.33333333,2.306666667,1.433333333,0.471404521,0.471404521,23.52560687,0.347978288,0.790878555
2.8363,-3.518489511,2.0,45.0,2.275,1.525,0.0,0.0,19.99,0.215,0.575
0.9437,-2.896738425,2.285714286,40.28571429,1.862857143,2.207142857,0.451753951,0.494871659,17.3646374,0.116215844,0.39687041
3.171,-5.838772216,3.0,14.5,1.8225,2.395,0.707106781,1.299038106,32.17545202,0.390216286,0.857918994
1.2219,-5.36777565,3.0,10.0,1.86,2.115,0.0,0.5,10.0815,0.06,0.075
2.4899,-3.066611114,1.333333333,25.11111111,2.081111111,2.506666667,0.942809042,0.942809042,30.18838631,0.523501978,0.974656635
2.4048,-4.107965076,2.0,36.0,2.195,1.75,0.0,0.5,4.33,0.295,0.8
5.7689,-3.734822445,1.0,23.0,2.25,2.4,0.0,1.5,33.235,0.78,1.58
2.458,-2.872323809,2.0,32.0,1.895,1.705,0.0,1.0,51.6475,0.165,0.395
1.2363,-3.27662587,3.0,32.0,1.95,1.83,0.0,1.0,47.3845,0.11,0.22
0.3694,-3.709125302,2.4,30.0,2.11,1.588,0.489897949,1.264911064,70.89160657,0.295025423,0.805342163
1.4272,-3.844391842,2.0,36.0,2.185,1.55,0.0,0.5,43.761,0.125,0.55
0.8064,-2.25202379,2.0,21.33333333,1.98,1.553333333,0.816496581,0.471404521,14.68835403,0.569619756,0.563461524
1.3633,-3.495079865,3.0,23.0,1.835,2.0,0.0,0.5,19.3745,0.035,0.19
3.4374,-3.578535336,1.333333333,16.0,1.443333333,3.203333333,0.471404521,0.942809042,21.86939853,0.037712362,1.098372533
5.1043,-4.525314205,1.333333333,14.33333333,1.596666667,3.095,0.471404521,0.942809042,17.50161389,0.320347034,1.265566408
0.4648,-3.17873914,3.0,32.0,1.86,1.995,0.0,0.0,2.5995,0.01,0.185
0.988,-3.27304972,3.0,32.0,1.95,1.83,0.0,1.0,47.3845,0.11,0.22
3.73,-2.552769455,1.0,36.0,2.365,1.74,0.0,0.5,43.903,0.385,0.92
0.6026,-5.009799552,2.666666667,22.0,1.736666667,2.946666667,0.942809042,1.414213562,48.41795833,0.306412939,0.697678691
6.5334,-3.41120702,1.0,10.0,1.785,2.07,0.0,0.5,14.2215,0.035,1.09
1.6238,-2.714844103,1.333333333,15.33333333,2.34,1.693333333,0.471404521,0.942809042,10.88850162,0.579827561,1.235079844
3.11,-4.301940281,2.0,27.0,2.145,1.765,0.0,1.0,27.777,0.345,0.815
5.8722,-4.25209217,1.333333333,13.77777778,1.825555556,3.058888889,0.942809042,0.942809042,17.33465364,0.532146828,1.342306841
