feature,VIF
4,4.163709306027539
5,5.505528222830717
6,3.7417579267529297
9,4.877190685516898
10,4.090974395262893
12,1.1539781788726573
14,4.340061298163964
15,4.787489638208291
16,3.641175253043011
17,7.882303934104071
