tst_y,tst_pred
8.498,8.943395788998412
3.9033,4.047969981293175
6.4659,6.764221847570905
11.9452,12.576484073166665
11.2074,10.871456407747967
4.4837,4.743639943385727
5.4815,5.59834887116396
4.3584,4.4608761717801535
1.9291,2.1333267204579833
7.8919,7.570350802964793
1.8594,1.854170182667115
0.7466,1.3812609713897182
1.6696,1.7219666899306212
2.1581,2.170731049751378
3.1553,3.096511202863365
1.33,1.4652060783727556
11.6438,11.762481002271482
0.9156,1.14933682179257
3.9743,3.635544886238602
6.7964,6.905299550340072
2.1749,2.0902230982192513
6.604,6.27930906251974
3.9388,3.5843101158014115
1.2836,1.5590053614805974
1.4077,1.3045432800417238
2.5701,2.709479259072207
9.3022,9.220043515736318
9.4213,9.807067896511779
7.2876,7.528257335252459
7.0987,6.678458104284157
5.0391,5.116023235693927
8.0577,7.6849276962588355
1.7131,1.5255412474261156
1.9402,2.0464371061395177
1.3449,1.2034685608602267
2.4631,2.6155796492718473
10.9613,10.07278153537747
2.8464,2.6324942734640153
13.0725,13.235014385133393
3.3727,3.3127490310844614
11.2042,11.535490468921619
2.3459,2.7763662350790064
5.9187,5.960626346773932
6.6096,6.230899400267997
5.287,5.010500426945821
2.98,2.8524056411793417
2.3679,2.8957732660244737
8.7402,8.476372916799999
6.4426,6.376207553078228
2.585,2.710718451463361
11.987,11.125712748991116
8.3594,8.256755693463145
1.6817,1.8608031867046684
4.149,3.929139330628953
1.8094,2.0199089113662403
1.3849,1.653110370414577
3.8065,3.807889626497552
7.3432,7.950883696682734
3.689,3.480146239656431
2.1176,1.882841243996534
5.3309,5.127201944666165
5.9228,6.145357622694785
2.6669,2.6013284755729664
4.4768,4.454990058584297
3.4788,3.4668890317581535
8.4926,8.633978173496683
4.9548,5.261664606052289
6.7255,6.654112159921208
