feature_1,feature_2,pair_rp,pair_rs,pair_score_abs_avg
1,2,0.9690669491508114,0.9710167900698203,0.9700418696103159
6,7,0.9656787634736739,0.9643948186863885,0.9650367910800313
10,11,0.9530325326006934,0.9352348426886039,0.9441336876446487
17,18,0.8776755854559933,0.8687293263185706,0.873202455887282
3,7,0.8486637195499063,0.8841216831035604,0.8663927013267334
2,17,0.8157362126048531,0.8212654635302546,0.8185008380675538
3,6,0.7736327380832941,0.8032203924042185,0.7884265652437563
3,9,0.7577188739951105,0.7423193890101417,0.7500191315026261
2,18,0.7659105813967642,0.7254636987989894,0.7456871400978768
1,17,0.7334943322721872,0.7393319284909016,0.7364131303815444
14,15,0.7124291879278641,0.7135417614444951,0.7129854746861797
9,11,-0.669312483730129,-0.7093224193562166,0.6893174515431728
5,17,-0.6854720085237515,-0.6896543404580739,0.6875631744909128
3,11,-0.631420295777583,-0.7274837388782087,0.6794520173278958
3,4,0.6495455742999288,0.6990559843241534,0.674300779312041
1,18,0.6770604416765634,0.64476909251614,0.6609147670963518
4,7,0.6551517534724464,0.6611308086347583,0.6581412810536023
7,11,-0.6294487146636936,-0.667871023482191,0.6486598690729423
9,10,-0.6243989702789421,-0.6475296315854139,0.635964300932178
4,6,0.6210736738536751,0.6405242417688289,0.6307989578112521
2,5,-0.6103549114798308,-0.6499286205608159,0.6301417660203233
7,9,0.6268302777889169,0.6266216925207445,0.6267259851548307
3,10,-0.581036039089759,-0.6668048734869255,0.6239204562883423
4,10,-0.5918395292884652,-0.6220487443652646,0.6069441368268649
4,11,-0.577375054187895,-0.6219606759836063,0.5996678650857507
7,10,-0.5693090957307502,-0.6005633902072872,0.5849362429690187
1,5,-0.54912384374248,-0.5926955032486579,0.570909673495569
6,11,-0.5229270295452181,-0.5744105776929017,0.5486688036190599
9,16,0.5659791870551953,0.5006960798469852,0.5333376334510902
16,17,0.5624242039479965,0.5016814962661958,0.5320528501070962
2,6,-0.5023140909900787,-0.5327318037979021,0.5175229473939904
1,6,-0.5073877931253195,-0.5222359273492935,0.5148118602373064
16,18,0.5449337726579488,0.4828172652607443,0.5138755189593466
2,11,0.5562761410314587,0.454556013824737,0.5054160774280978
6,15,0.45531683292069014,0.5484956354692111,0.5019062341949506
1,7,-0.5040521807590767,-0.4809395680465414,0.49249587440280906
2,10,0.5315795055704212,0.4504405812069079,0.49101004338866455
2,7,-0.489239667781364,-0.4883795964254187,0.48880963210339134
6,18,-0.4718795090963644,-0.4880974726545371,0.47998849087545076
6,9,0.4706820990786178,0.4849035870840207,0.47779284308131925
5,18,-0.4641067422359741,-0.48968061125878887,0.4768936767473815
6,17,-0.46878500893533986,-0.4792626823577874,0.47402384564656364
10,18,0.4960748432270643,0.4471072274312074,0.4715910353291358
6,10,-0.44930593517275097,-0.48862945498495947,0.4689676950788552
1,11,0.5208773500458536,0.4167275352663822,0.46880244265611787
11,18,0.49336231962036264,0.4206407468876632,0.45700153325401294
