tr_y,tr_pred
3.954,3.9708462483724176
8.4926,8.779945328653575
1.33,1.3547583385317736
4.6557,4.47059152295531
1.3234,1.476091044784134
2.6325,2.8245585288661275
6.4426,6.410045006388991
7.0041,7.013818479125057
2.98,2.9288678312624867
6.1699,6.096619041800459
1.8665,1.8745576990951847
4.0614,4.265437487858598
11.987,11.45713160061512
4.7437,4.586147426587722
3.8065,3.8213153558537485
9.686,9.47981520967749
5.9228,6.154904203904316
4.2694,4.249097195519589
4.7659,4.490651196514754
2.923,2.8456656970958463
3.1553,3.165427761647315
9.4213,9.605479259640724
8.2173,8.45096785355252
4.1902,4.247830931825028
6.7255,6.736240896669351
3.14,3.1465570698493863
6.6164,6.337139361661848
5.2486,5.216414036676888
6.7212,6.709459136078458
6.8932,6.881778064807968
8.6145,8.499242752945229
5.5707,5.567726640749406
0.9185,0.7369787518838891
7.2876,7.208118116330461
4.0471,4.217260241106651
2.7721,2.604803649726982
4.0859,4.189026700018239
11.296,11.923721113753508
4.4768,4.4688854771267685
8.7523,8.764239166284987
11.5869,11.010256588355496
2.1856,2.3501877666969264
1.3849,1.543513888944453
6.2057,6.412623543699901
3.3954,3.406050670308268
1.7131,1.3758699023475671
4.5849,4.4710530840040335
9.2312,9.570190446773431
10.2887,10.352215239216257
6.3822,6.29437088962748
0.7863,0.7372610722397255
6.2831,6.3445938859787745
6.7511,6.557970988862671
3.1664,3.158238510905157
2.1581,2.1665502272391493
2.3459,2.4887378489331056
3.4135,3.221057021941469
4.8655,4.609568460986502
3.003,3.055551467252535
4.1618,3.934193905210286
4.4814,4.098349271751594
4.9548,4.961134737590491
2.3017,2.245694219362285
1.4274,1.4390383278079568
2.9918,3.014080045563041
8.1958,8.379275428162309
3.8445,3.7024706395279097
4.1888,3.9863991213753067
7.5067,7.536568288254948
3.572,3.4526996215737924
2.2193,1.9833606839148885
4.5654,4.577434930948748
3.9388,3.688795552912943
2.195,2.0064534984432427
1.7876,1.7402559487292635
10.8879,10.84846370817484
4.755,5.020547759441051
3.9033,4.116453106995486
11.6438,11.724675503270355
0.3572,1.0317269726348783
5.6381,5.846202746384897
5.8911,5.3038670088864635
8.2488,8.20925060694588
2.3072,2.385336443949363
2.9687,2.9584613902390444
0.9156,1.1437366182437287
3.5519,3.911310504196244
7.446,7.15320506490405
4.3992,4.573635057853771
1.4295,1.6965361040458262
8.2358,8.226283711892556
1.5737,1.5061638404223956
4.3291,4.176787132721238
8.1826,7.709157755336655
2.7447,2.725189676008249
2.2699,2.239135047040854
5.9187,5.930018638662823
12.8094,12.801887422734744
2.4753,2.630772712429625
5.6544,5.579041141560246
1.0886,1.194727915206549
1.2836,1.4468893552204278
4.0401,4.054237462765904
1.3442,1.3296115248705789
11.8931,11.881554735557238
6.6747,6.723235892286702
4.149,3.9676106318276467
6.7934,6.765387533267294
4.4694,5.030652878251367
2.3679,2.9459096126467372
1.8382,1.8527293076605744
3.5878,3.573061867780943
1.9291,1.9385746553290844
5.7204,5.823251848982345
3.9743,3.653731420716376
2.1749,2.2278137684262944
5.5859,6.074785812879945
1.6817,1.685104702604967
3.0943,3.115062327970172
4.406,4.3919024000626266
4.4837,4.9073812921725946
3.992,4.306691778234544
5.5546,5.566182879010903
1.5161,1.3131061778278124
6.1564,6.357161421479923
5.7006,5.381348592456725
9.3322,9.570976276798483
1.6696,1.7250250835770018
1.9402,2.031368300200647
1.7504,1.9164791528875682
7.4545,7.51743093003477
2.3766,2.313885120213108
3.058,2.9309460584883524
6.5146,6.532471084743683
13.1056,12.865225555915622
1.8665,1.8745577034207415
5.3966,5.387095865195242
0.9164,0.9062937631480779
1.8243,1.8344108494458666
3.7587,3.807635868173911
6.8743,7.2868652027829555
4.1303,3.8500711333455726
4.9239,4.955454099739818
10.3911,10.397708655589831
4.1715,4.182615009567762
3.671,3.8864115724883774
7.2186,7.257618997155241
5.9173,5.572189367052651
5.1969,5.092558550412086
3.9604,3.9736634061265974
1.7728,1.9962567517797467
9.7695,9.61301010586083
4.1236,3.8900509844517543
9.3875,9.355299598797664
8.3594,8.373796157462657
1.4577,1.4368500049333122
1.4414,1.453222494305173
1.8094,1.9843532896176654
3.4788,3.468846981040933
8.0577,7.847807637998066
4.8004,4.7358716020773315
13.605,13.951422186997824
4.5839,4.527417709421734
6.5796,6.379752120750872
5.3309,5.341708386942791
2.8563,2.8471238523726967
11.2042,11.483985102977549
5.7682,5.148587794119685
1.3449,1.3313807760825327
4.2488,4.47125200986391
8.4321,8.673775540763181
2.1176,1.8913322995669475
13.0725,12.948576158382075
2.0463,2.1741204030842525
4.0589,3.5070440327473804
1.469,1.4078994371431506
1.371,1.6752567110217385
4.9465,5.042574998593572
5.2102,5.871809919203024
7.6722,7.858933526797209
1.735,1.68653146508057
7.1374,7.3043888012872955
3.3727,3.375211084581842
1.7396,1.6467518151786678
1.4077,1.4021300632195377
5.4815,5.464710436419573
3.2169,3.1169809103923214
11.7016,11.981514909719571
8.4192,8.38227353329983
2.585,2.6573788573097588
1.92,1.9005722143157797
6.604,6.554298257520877
0.7466,1.2391774060490022
1.022,0.9818711043973778
5.287,5.291228047490385
10.7274,10.497259435013056
3.1458,3.121684664573131
1.8594,1.9790622645015716
14.5484,14.385871958205989
4.5006,4.50931653145215
3.5944,3.682238419547666
8.7402,8.657532324397998
