tst_y,tst_pred
1.3849,1.6341564108880675
4.7437,4.512641483068478
7.3163,7.7845155506657875
5.7204,5.900974052787319
1.92,1.889341106123652
14.5484,14.412980242012168
5.6381,5.804585123192851
4.1715,4.08282225391315
4.755,5.000955462092065
2.1856,2.351137976908035
3.2169,3.0270339165982705
10.3911,10.376875087449775
3.7455,3.330221618640394
5.5859,6.1397945393893
1.7131,1.329114854619661
13.605,14.367821036059581
11.8931,12.007186015515003
4.8004,4.710726829429518
2.4221,2.5472686036738423
5.3309,5.368905726612979
3.689,3.601882458258956
1.7396,1.6645593104495902
4.0614,4.3085399191114675
11.2074,10.72814360987843
9.6897,9.998736716430471
3.0943,3.0911679309175497
2.1176,1.774973839465133
1.4577,1.4229246321066285
11.6438,11.827299483222419
3.8571,4.018621987850679
2.0713,2.2710478081791052
1.7876,1.7241819135616652
3.671,3.87894654166314
4.0471,4.10308101295243
3.5878,3.654688103157355
3.4788,3.433252074877714
3.9604,3.9636220626053955
7.446,7.214281108568798
2.4631,2.7040485922935886
2.6669,2.6243490523503397
6.5356,6.435890087377743
2.3459,2.4082209487115733
7.1374,7.437182241426967
11.7016,12.116085501769817
8.0895,7.666853316028323
5.4815,5.440194275583167
2.1581,2.2093148562436227
3.1375,2.844406852518773
2.5356,2.5377965213393736
6.1564,6.315725659511486
9.4213,9.552517044587262
4.9465,5.060066524613035
9.6795,9.628190873663812
5.9187,6.020158301413289
6.7212,6.605242611664039
3.1458,3.0914744497841866
1.3442,1.308547076743821
1.8094,1.9635131041924296
3.1664,3.149464022282814
4.0859,4.186545756983946
5.0361,4.858146613720351
11.9452,12.283482299097273
6.7255,6.907273043034479
6.1699,6.12608829359317
1.3584,1.2188416051795912
5.7682,5.082076692499072
1.8243,1.7892090470942321
4.9239,4.974180567367625
