num,matername,gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
301,Ba2MgB2O6,7.2957,4.5121,8.1402,12.968247841516588,-6.247967544,2.1818181818181817,16.545454545454547,2.8181818181818183,37.871,1.8227272727272728,2.5281818181818183,10.579472727272728,0.385694607919935,18.680878100656034,1.526623238522424,47.00247505475352,0.431405544472545,1.0581443292328334,3.4646241672316043
302,K2LiAlF6,11.9348,7.0616,11.167,13.214753547761035,-4.5830045105,1.2,10.8,2.5,22.6175,1.798,2.811,12.45957,0.6,4.686149805543993,0.806225774829855,9.404534175066832,0.4960201608805836,1.4464608532552827,6.095067650986327
303,KAlSiO4,7.662800000000001,4.4997,7.2608999999999995,14.985961431116491,-6.020189354285714,2.2857142857142856,11.142857142857142,2.5714285714285716,22.59485714285714,1.8242857142857143,2.584285714285714,10.421514285714284,0.880630571852711,4.015276949301485,0.7284313590846836,8.415141157097578,0.43153735619980615,1.0322770550425633,3.8298929751658193
304,KLi6BiO6,3.9671000000000003,1.4444,2.4772999999999996,11.219273850273769,-4.097119069285714,1.7142857142857142,12.0,2.4285714285714284,27.581285714285713,1.7757142857142856,2.0885714285714285,8.977500000000001,1.0301575072754254,20.128160798812623,1.1157499537009505,50.97755255352045,0.3207071268688767,1.1945283417247468,4.059570334759227
305,CaTiO3,4.494199999999999,2.4086,3.2973999999999997,11.057467000351735,-6.6312034498,2.4,13.2,2.8,27.1916,1.796,2.572,10.75912,0.8,6.4,0.9797958971132712,13.927131299732908,0.343895332913955,1.0767060880295978,3.5088115027171236
306,Ag2GePbS4,2.5731,1.3148,1.9023000000000003,21.633055315747008,-3.359038665,2.0,34.0,4.0,77.97625,1.94375,2.24875,8.9885625,0.8660254037844386,22.197972880423112,1.118033988749895,58.036208374061616,0.14636747418740265,0.3355010245885995,1.3770405585325907
307,NaAlS2O8,9.7422,5.7471,8.3629,11.583789585141178,-5.038234976666666,2.0,10.0,2.3333333333333335,20.175250000000002,1.6558333333333335,2.935,11.732475,0.408248290463863,3.082207001484488,0.4714045207910317,6.301339951748359,0.22366114002113902,0.8199542670173745,3.0098296715719646
308,AgAlS2,3.6427000000000005,1.9515000000000002,3.0520000000000005,20.67932420521706,-3.86782918875,2.0,23.0,3.5,49.74525,1.8875000000000002,2.175,8.5705,0.7071067811865476,13.910427743243556,0.8660254037844386,33.62133588493324,0.1294942083646986,0.420505648000119,1.8757616506368815
309,NbCu3Se4,2.4735,1.3588999999999998,1.5010000000000003,21.905370406911914,-4.05992631125,2.0,33.0,4.125,74.92349999999999,1.9575,2.1875,8.6184625,1.224744871391589,3.8078865529319543,0.33071891388307384,9.85539211548683,0.08856494791959184,0.37395688254128967,1.1719938256423323
310,Ba2SrWO6,4.8743,2.8955,5.954300000000001,15.731337471680394,-6.131606010800001,2.4,27.2,3.5,64.2124,1.9150000000000003,2.507,10.56909,1.2,24.854778212649574,1.857417562100671,62.84836801413383,0.5007444458004503,1.163091140022999,3.7981214721096004
311,RbSrCO3F,7.4352,4.2828,7.7007,16.438890027240653,-5.5448369088571425,2.0,16.285714285714285,2.857142857142857,36.01385714285714,1.892857142857143,2.66,11.3442,0.9258200997725514,13.445278360974221,1.355261854357877,32.018401416455916,0.5710570220643291,1.1886006177734507,4.403735325185395
