Metric,Mean,Std,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19
RMSE Train,0.17197662722062307,0.0365672647851406,0.12542746999826512,0.20928862657308464,0.14866664033839996,0.14966143474236776,0.2108389689635558,0.2181933064373463,0.07376746013454041,0.14711706085500215,0.18109707505339326,0.18454632474215918,0.21874681774694996,0.14817734114058143,0.2162505212975678,0.13998587498083365,0.1882851442367098,0.13754978688824784,0.18436794889460506,0.18556000430821765,0.19201774214090997,0.1799869949397238
RMSE Test,0.25179091264549736,0.025021692626369708,0.23182190404162437,0.2823980944639961,0.2731420699022699,0.27038363059718334,0.2562300902987726,0.2672856885378875,0.3187162245852439,0.23446822251262414,0.25178216663823344,0.2312116615451524,0.2582608690997813,0.22074677135035195,0.2421920824960772,0.25233678900814766,0.22478513704134753,0.2906990729748516,0.2270289212372565,0.23010325709956755,0.23783014975888706,0.23439544972069176
MAE Train,0.10939734160475026,0.031590344187201434,0.0674222573116189,0.1456170500608223,0.08240786734632713,0.08703726965393108,0.14574753907041388,0.1492667369194667,0.03404677538306079,0.08550827929086004,0.11910884278442899,0.12337166419637312,0.1478449980983587,0.08738625005957641,0.15123082244300945,0.07786816431232386,0.12421970874342345,0.08060935512615647,0.1230336417410253,0.1187082676149156,0.11720119552882761,0.12031014641008529
MAE Test,0.188723147989277,0.01632672478234244,0.17859045263478687,0.21481685882841117,0.19147168356488747,0.18512446549256295,0.19682940808947402,0.18764587381640033,0.23441001613155568,0.17552079895285522,0.1904656479299271,0.18048259350778487,0.19993825453732578,0.16413166117937442,0.1793739103620264,0.1908948844891529,0.17021766027247204,0.20709700393622824,0.1676813092120989,0.1856636400756011,0.19620169470538587,0.17790514206722854
R^2 Train,0.9967295508295557,0.0012942042879036022,0.9982934822038974,0.9952603365361083,0.997694492125959,0.9977487233235828,0.9952233868562479,0.9948626080819982,0.9993951922726002,0.9977392465366197,0.9964177401036305,0.9967091450814065,0.9947834711718904,0.9977294321015171,0.9947951985269815,0.9980337893701202,0.9964461264981147,0.9980382851409844,0.9965722757929308,0.9962399096780632,0.9959175393668568,0.9966906358216004
R^2 Test,0.9931521936568897,0.0014373545764266148,0.9947267198354808,0.9923048756551649,0.9921135614957373,0.9898186758524985,0.9932707188387808,0.9931982863258177,0.9910909758156009,0.9939968802092854,0.9937602666742942,0.9917607595893334,0.9935627100008767,0.9949034197538856,0.995028812101759,0.9921596691014684,0.99377709018089,0.9909858344326351,0.9934187810312363,0.9948316766389947,0.9948266291770812,0.9935075304269747
RMSE Prediction set,0.4663541389093394,0.07088760684303438,0.45369340109280004,0.49282603827566535,0.44673220353383947,0.5277820404717011,0.4104662029240927,0.4966321721517159,0.4697133081320697,0.36276897806691905,0.4413645909219129,0.38382813502190605,0.47071002055245165,0.4513652638794612,0.441194836359662,0.7164216388825413,0.4542810088688282,0.5161835828497131,0.4681727134653055,0.39973116486129895,0.49861503711189636,0.4246004407630089
MAE Prediction set,0.3807952789572726,0.05198845632910909,0.3467048724141346,0.4314265890346237,0.34543676973079174,0.4031978817749494,0.3543574786942208,0.42820989993289826,0.3655960402177465,0.2910912551495968,0.3700117328474452,0.3289595224721064,0.40542432102957937,0.36163575267709147,0.3842091601792476,0.5461954237538291,0.37418588042665285,0.40592227669411923,0.39351813694392457,0.3267212616875037,0.4112677253973189,0.34183359808767183
R^2 Prediction set,0.9789777806953077,0.005461936020885176,0.9817591701553939,0.9770238889701499,0.9791606343909168,0.9748479147195959,0.9840124096238947,0.9765967665349609,0.97565206315965,0.9858762816002251,0.981629629083391,0.9838940723774465,0.9790103762678479,0.9787964884289758,0.9800933432493392,0.9593212665828316,0.9828908849900923,0.9783096673248636,0.9782230322854734,0.9837625482870296,0.9761860754058503,0.9825091004682291
