Metric,Mean,Std,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19
RMSE Train,0.21090884585180308,0.016128032160673406,0.20742304438464404,0.23702391769383224,0.19990303033221565,0.23366574654371552,0.21296649135080511,0.24225930971829462,0.21427097811716744,0.21790920403316233,0.20932799425591983,0.21871221511411176,0.20750929363207346,0.21435169384354058,0.18970484893251327,0.18031197051996228,0.21741495766449195,0.1963006331548753,0.22596312527181872,0.20828295947379655,0.18301641987158732,0.20185908312753362
RMSE Test,0.2599072360472673,0.025167316913611654,0.26123132001689525,0.2739288318383646,0.3270125505506704,0.27254216093181977,0.26592219097943237,0.25150198370876187,0.25237855082238136,0.2451883954857619,0.27359497800656324,0.24115983960432866,0.26112172258213595,0.26572530199869354,0.22680745533030047,0.24013515455135662,0.2514805097582202,0.30226251487914885,0.2049801453772381,0.25762153964212375,0.24641638064539545,0.27713319423575283
MAE Train,0.14176204305279141,0.015918378234261506,0.1363150413384349,0.16207601422535567,0.13684316369637342,0.16906118170555504,0.14563601087588088,0.16856362608640008,0.14324719428345667,0.14522296754113817,0.14188886714893253,0.14817554592285168,0.14215172089873274,0.14533039314197227,0.11571258829257586,0.1126682504709893,0.15009278063787496,0.1359725805887907,0.15278347091606848,0.13792379722012538,0.10590008202671251,0.13967558403760721
MAE Test,0.18932192645622362,0.016064599562261927,0.19114731558976644,0.21303389546087728,0.22483335266323834,0.1899930837166716,0.18988777419136152,0.18909596301992804,0.1718888436448197,0.19091520587069005,0.19283221635011294,0.17526614914130512,0.19320378147278228,0.1856220083800196,0.17363648097289863,0.18825497947155642,0.1594287198023207,0.20966575828106368,0.15782379596100343,0.2005739103448339,0.20006758966325555,0.18926770512596716
R^2 Train,0.9952910999075787,0.0007161590327558435,0.9953530629756531,0.9939408414452471,0.995833483832289,0.9944752798692285,0.9951942336833286,0.9936752763457082,0.9948235407889114,0.9950733398603362,0.9952136593974354,0.995379726540521,0.9953587001308272,0.9952427948363084,0.9959841531838067,0.9967293285719789,0.9952527790889613,0.9960118466867273,0.994861263542178,0.9952800899261344,0.9962906629686081,0.995847934477384
R^2 Test,0.9926692599962005,0.001673892163861449,0.9934196525105978,0.9925085191093262,0.9886363371775327,0.9900535747586762,0.9927277111695368,0.9939338849204957,0.9942496480700578,0.9935852866405203,0.9926013917445677,0.9912992828637276,0.9934654076578171,0.9921136343374287,0.9952965437007459,0.9933080457358834,0.9919793645560904,0.9902744258308073,0.9948140350038225,0.9934036652039386,0.9945673075530361,0.9911474813793965
RMSE Prediction set,0.3349274063185118,0.018913101716864635,0.33088449216408433,0.3596030791952172,0.325326425460918,0.3464522022670864,0.3096951225563115,0.3539937495292402,0.32098275645477164,0.3174659381372057,0.358592128183191,0.33323713185427994,0.31498384059803197,0.3294123365059881,0.350087312795878,0.3432194058599914,0.33234977493255075,0.3232259475677716,0.31991155326642706,0.31864949794425773,0.38729762171210724,0.3231778093849283
MAE Prediction set,0.2785516055286789,0.013993323646615052,0.2722691843385811,0.29652483538175656,0.2682796432160074,0.2893734913419078,0.26151476064094903,0.2967389404722563,0.2653372831117541,0.26860728209141926,0.29447549648599736,0.2779018797944527,0.26441038106469505,0.26912622705267725,0.28830466625862894,0.2896440528184324,0.2745405982071244,0.2740171720670121,0.26720076154184796,0.26928544159162165,0.31493913587999645,0.26854087721646014
R^2 Prediction set,0.9866124482451243,0.0012866947353781582,0.9868460181377416,0.9857786134952586,0.9868363583354647,0.9870868563791466,0.9878169714599365,0.9865149813665361,0.9875511142518121,0.9872489424721664,0.9861147870858689,0.9873808081099266,0.9879310073806113,0.9872848551282869,0.9851208133802855,0.9861063865282267,0.9872261648489247,0.986796704338229,0.9865536827760427,0.9868690039741721,0.9818365889252662,0.9873483065285811
