cycle,gamma,C,epsilon
0,0.01,100.0,0.001
1,0.01,100.0,0.001
2,0.1,10000.0,0.001
3,0.1,10000.0,0.01
4,0.0001,10000.0,0.01
5,0.0001,10000.0,0.001
6,0.01,100.0,0.01
7,0.1,10000.0,0.001
8,0.1,10000.0,0.005
9,0.01,100.0,0.001
10,0.0001,10000.0,0.01
11,0.01,10000.0,0.005
12,0.001,10000.0,0.01
13,0.1,1000.0,0.001
14,0.1,1000.0,0.005
15,0.001,10000.0,0.005
16,0.01,1000.0,0.001
17,0.1,10000.0,0.01
18,0.1,1000.0,0.001
19,0.01,100.0,0.01
