tst_y,tst_pred
4.0401,4.000121582852241
3.8445,3.8594369416857965
4.2197,3.8279904754324683
8.0577,7.897682866232369
2.3412,2.4401483962208452
3.14,3.1058481190428004
2.3679,2.8787449806129892
4.4814,4.06079741972442
4.2694,4.217077175364263
4.0471,4.137423528543675
3.9363,3.6493001753767906
2.7721,2.514203726059147
1.469,1.4304185704075074
3.5519,3.7726756404715864
1.5161,1.3602099594588957
3.572,3.525804431710437
4.4837,4.836273989294366
10.3911,10.494040927691255
3.4742,3.428710693003975
11.8213,11.7819804049557
1.022,1.0586648303285777
6.5356,6.486791964829333
3.0207,3.0270721449176357
2.2699,2.2560491734982655
1.9402,2.049645168231816
1.3849,1.590508548489904
7.5067,7.7509127430146485
2.0713,2.372033890103719
0.9185,0.7405521196795029
5.0669,5.907677665670942
2.6759,3.194742247165575
7.446,7.138616764772248
2.5356,2.597508762722807
7.0987,6.876144902929607
8.5691,8.320401971686604
2.4221,2.538534890652752
10.8879,11.01100182110147
2.3072,2.4753357457118703
3.9743,3.6003387459402596
6.1699,5.979328814060661
8.3594,8.36631933513652
3.5878,3.5865400701639167
8.2358,8.24213871208465
2.1749,2.212737074672784
5.5546,5.491560109146828
1.8243,1.9353366141438322
4.8004,4.710232635676018
4.9465,4.8950486120263825
8.4926,8.82657974113479
6.0339,5.948411951596224
0.3572,1.1149231700453832
3.4788,3.3060183813720663
5.9228,6.245018541578045
2.923,2.9655561951037974
4.3992,4.523460634014352
8.1826,7.5051091109269485
1.7131,1.4404495166379796
4.3291,4.05027044957367
4.5839,4.427880512855861
2.4753,2.701188355305728
8.4321,8.809897563527354
6.4659,6.653301349253322
1.3584,1.3084709408738284
4.0614,4.167004374957994
12.8094,12.98862366641131
4.4768,4.416316550192075
11.296,12.085303596408064
8.2488,8.14607612586931
