tr_y,tr_pred
3.5519,3.7608840121184866
9.6897,9.946348417792414
1.9291,2.128840474758828
7.2186,7.53387243273643
6.5356,6.492464047129671
11.296,12.099226569950162
1.33,1.4900541536317196
6.7212,6.598123978348278
3.4788,3.30849508545748
2.3017,2.367796768025233
2.9687,2.8931604954924666
5.2102,5.949362101575069
4.7659,4.478970294479964
4.4768,4.411678112248634
4.1902,4.284680191262996
10.5066,10.494518976117767
11.7016,11.801905230669817
2.6759,3.0727514031862313
8.6145,8.464382898824137
12.8094,13.007118952925818
4.5654,4.660049570155513
4.4694,4.929218184540842
5.9187,6.269582669112324
3.3954,3.4196094715805074
1.5573,1.2544081910375713
2.5701,2.7045259567229714
3.4099,3.4323986984890897
4.1618,3.843147395549355
4.9548,4.9988573626180965
7.0041,6.992225090291633
6.7511,6.635081452228302
4.755,5.0130507180197235
10.7274,10.50825270136755
6.5146,6.634936421632965
1.7504,1.9929502838525561
2.923,2.9483347385091463
7.3163,7.4999259069549105
2.1581,2.1603468612336503
5.2486,5.1629412176856455
4.2197,3.919628254217727
1.3584,1.3446834068262223
4.0401,4.029545491719272
5.6544,5.50263617678786
6.2427,6.145655596467488
2.9918,2.9499566903509162
8.3594,8.400198834999316
7.3432,7.796273441293362
7.9318,8.104412388141757
1.3442,1.371874763642058
9.3875,9.397720760434268
3.7455,3.269097844528673
9.686,9.694047855644353
8.7402,8.657068685541578
1.7876,1.7588593765316531
1.6723,1.5397562336639226
6.3822,6.348251152434141
4.3584,4.347769244329882
6.8932,6.705956980824567
2.2193,2.0763011876797144
5.9228,6.224353878081764
8.1826,7.549067033066166
1.7728,2.1603327278754882
8.4926,8.795556059422303
3.8445,3.8796051198851202
4.9465,4.897426754143879
12.8835,12.894536899688994
2.8464,2.60390391982574
6.0339,5.986403821538659
4.7263,4.668850320770641
1.4414,1.4444250814315005
3.671,3.828421643449399
2.1176,1.9102571624222762
5.6381,5.802784586814077
11.5869,11.026894174166452
6.6096,6.410204843573194
2.585,2.7633109036113837
4.3992,4.530954618472979
4.2694,4.268100762262211
2.8563,2.8110984114642115
2.0465,2.1396593185517148
8.2173,8.420282631412114
5.4815,5.544091221724848
3.1664,3.1587710660892583
3.7694,3.7825100269648964
2.195,2.1997667486106316
11.2042,11.31626190753668
4.6695,4.650638620175339
2.4631,2.61107984050234
2.0713,2.3879295225691735
1.469,1.4554316500112598
3.9388,3.765283082581476
3.9743,3.6650553092053357
3.14,3.131503016762128
6.2057,6.347139110851334
5.287,5.355494338292704
13.1056,12.967334165922164
1.8665,1.877141341687075
5.5546,5.488502360221414
1.3234,1.553503228386571
7.8919,7.586420124166413
14.5484,14.332594014092079
1.8243,1.969750564934868
4.1888,3.894944919154643
3.689,3.64429798958653
2.5356,2.609728460430274
1.022,1.054941295882795
13.0725,12.778291424244625
6.4659,6.579575617252221
6.6747,6.68775285811204
2.0994,2.0009834053084425
11.987,11.407905144270615
11.8213,11.799963117691409
1.7131,1.4944410374737132
3.0943,3.06068424668803
6.2831,6.269764274518291
9.7695,9.953179441625608
11.2074,10.848225437723599
1.8094,2.063114077544377
8.4321,8.829616550851885
11.9452,12.308176978833057
13.605,13.598133760605169
10.9613,10.483286493673429
0.7863,0.7419563648086616
4.8004,4.7048375858216005
5.7006,5.4391588029237585
9.3022,9.220341772882904
7.1374,7.164954744123619
1.0863,1.8850038659115071
3.572,3.5341320734527812
6.5796,6.269146165955869
4.5839,4.512385463970865
8.7523,8.788158791464443
4.7437,4.580017194542341
2.3412,2.4200527324815866
3.5878,3.6471352273620834
9.3322,9.6216481159793
2.98,2.818015949813118
11.6438,11.861664480162823
3.992,4.255386304981082
3.1375,3.0779159516130683
2.3459,2.488140382772899
3.003,2.996900356448659
4.4837,4.792778252839698
4.458,4.474522148302224
3.9363,3.730142456319488
10.8879,11.013884685967192
6.4426,6.690430662045227
4.0589,3.6609540597615737
1.92,1.8747193683943557
4.5849,4.4540207262600795
6.7934,6.7993847337908715
2.1749,2.1673160370207896
1.8665,1.877141341687075
8.0895,8.059188609616637
3.386,3.4463228544077396
1.3022,1.1474867211955129
3.1458,3.050591719584226
7.446,7.162484135294289
1.3449,1.0024078346775873
1.8594,2.054924754909166
5.3966,5.0905771083369995
2.7447,2.8451730617608213
1.5737,1.428110199395645
4.406,4.262705525864238
1.371,1.5255032054173565
1.735,1.7462753336177599
2.3679,2.8847991141381755
3.4135,3.167620775619053
8.2358,8.249402032709376
1.7396,1.8156449495331124
10.2887,10.296633131484025
1.6696,1.7626832824749101
3.8571,4.208567086354712
7.0987,6.885102500160331
5.8911,5.4375736360307165
3.4742,3.3990062058881207
0.9164,0.9114696275289074
3.9033,4.117605828631753
11.18,11.04999645958033
6.7255,6.737271045953225
8.2488,8.156368655652656
9.6795,9.6876328207289
1.4295,1.8480156753796884
0.9185,0.7264021098641713
0.9156,1.154158514730911
2.4221,2.4816327751885527
4.8356,4.907964413089681
6.8743,7.563407803174261
4.1236,3.989400385458497
2.0924,2.035753985300609
4.8655,4.497254805687257
7.6722,7.683140585837009
2.3072,2.513236218537511
3.8065,3.7962455046823216
4.1303,3.988210608819003
2.3766,2.3653136123738996
5.9173,5.572776395594083
0.3572,1.0982541091398872
6.1564,6.4794383245169875
1.4274,1.4373657068304695
3.3727,3.5111367236324256
6.604,6.597501633777213
