cycle,gamma,C,epsilon
0,0.001,10000.0,0.001
1,0.01,10000.0,0.001
2,0.01,1000.0,0.01
3,0.1,1000.0,0.01
4,0.01,1000.0,0.001
5,0.01,1000.0,0.01
6,0.1,1000.0,0.01
7,0.01,10000.0,0.01
8,0.01,1000.0,0.01
9,0.01,10000.0,0.01
10,0.01,1000.0,0.01
11,0.01,10000.0,0.01
12,0.001,10000.0,0.005
13,0.001,10000.0,0.005
14,0.01,1000.0,0.01
15,0.01,10000.0,0.01
16,0.1,1000.0,0.01
17,0.001,10000.0,0.005
18,0.01,1000.0,0.001
19,0.001,10000.0,0.001
