feature,VIF
1,4.498976602171771
3,5.4270628268112215
4,4.880081114048669
5,7.758422829733204
9,7.176238003069726
10,4.041865993208933
12,1.1407265431202973
14,4.570287164629238
15,4.466889284617456
16,3.5706514405896908
17,8.025178927574085
